case	quantity	route	iteration	time_s	value	unit
window	central_ion_temperature	exchanged-state	9		4.7297419085627155	keV
window	central_ion_temperature	exchanged-state	10		4.7298674405638916	keV
window	edge_plasma_current	exchanged-state	1		555878.91674268746	A
window	edge_plasma_current	exchanged-state	2		555721.43414396921	A
window	edge_plasma_current	exchanged-state	3		555623.51084363519	A
window	edge_plasma_current	exchanged-state	4		555562.74653650424	A
window	edge_plasma_current	exchanged-state	5		555525.20277016971	A
window	edge_plasma_current	exchanged-state	6		555502.06130661687	A
window	edge_plasma_current	exchanged-state	7		555487.80596633302	A
window	edge_plasma_current	exchanged-state	8		555479.0219636471	A
window	edge_plasma_current	exchanged-state	9		555473.60549969354	A
window	edge_plasma_current	exchanged-state	10		555470.26252441597	A
