coil,phase,record_kind,point_group,point_group_raw,feature,feature_raw,axis,value,uncertainty,units,is_formula
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. H4-AU,Orig. H4-AU,y,-518.74,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. H4-AU,Orig. H4-AU,z,0.14,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. P10-OIS,Orig. P10-OIS,x,5993.0,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. P10-OIS,Orig. P10-OIS,y,-1093.41,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. P10-OIS,Orig. P10-OIS,z,-6117.23,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. P18-IOIS,Orig. P18-IOIS,x,10097.97,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. P18-IOIS,Orig. P18-IOIS,y,-1816.11,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. P18-IOIS,Orig. P18-IOIS,z,2375.82,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. P20-IOIS,Orig. P20-IOIS,x,10483.11,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. P20-IOIS,Orig. P20-IOIS,y,-1883.24,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. P20-IOIS,Orig. P20-IOIS,z,-1246.19,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. P8-OIS,Orig. P8-OIS,x,7543.77,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. P8-OIS,Orig. P8-OIS,y,-1369.27,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. P8-OIS,Orig. P8-OIS,z,6354.03,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. P9-OIS,Orig. P9-OIS,x,5991.3,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. P9-OIS,Orig. P9-OIS,y,-1095.17,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. P9-OIS,Orig. P9-OIS,z,6116.91,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. T200,Orig. T200,x,7710.88,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. T200,Orig. T200,y,-1089.85,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. T200,Orig. T200,z,6255.25,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.1,Orig. Temp.1,x,3774.23,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.1,Orig. Temp.1,y,700.82,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.1,Orig. Temp.1,z,6150.17,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.2,Orig. Temp.2,x,7714.69,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.2,Orig. Temp.2,y,1078.9,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.2,Orig. Temp.2,z,6264.63,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.3,Orig. Temp.3,x,10631.19,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.3,Orig. Temp.3,y,1380.42,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.3,Orig. Temp.3,z,-1341.77,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.4,Orig. Temp.4,x,10421.63,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.4,Orig. Temp.4,y,1716.04,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.4,Orig. Temp.4,z,-1756.41,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.5,Orig. Temp.5,x,10207.03,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.5,Orig. Temp.5,y,1694.13,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.5,Orig. Temp.5,z,-2355.48,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.6,Orig. Temp.6,x,10064.07,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.6,Orig. Temp.6,y,1327.2,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.6,Orig. Temp.6,z,-2926.15,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.7,Orig. Temp.7,x,9001.2,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.7,Orig. Temp.7,y,-552.83,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. Temp.7,Orig. Temp.7,z,5925.52,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. TFGS Leg 1,Orig. TFGS Leg 1,x,9795.5,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. TFGS Leg 1,Orig. TFGS Leg 1,y,637.78,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. TFGS Leg 1,Orig. TFGS Leg 1,z,-4548.15,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. TFGS Leg 10,Orig. TFGS Leg 10,x,11218.39,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. TFGS Leg 10,Orig. TFGS Leg 10,y,678.01,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. TFGS Leg 10,Orig. TFGS Leg 10,z,-4533.47,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. TFGS Leg 11,Orig. TFGS Leg 11,x,11032.19,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. TFGS Leg 11,Orig. TFGS Leg 11,y,-829.52,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. TFGS Leg 11,Orig. TFGS Leg 11,z,-4612.97,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. TFGS Leg 12,Orig. TFGS Leg 12,x,10922.27,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. TFGS Leg 12,Orig. TFGS Leg 12,y,-550.55,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. TFGS Leg 12,Orig. TFGS Leg 12,z,-4199.59,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. TFGS Leg 13,Orig. TFGS Leg 13,x,9994.4,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. TFGS Leg 13,Orig. TFGS Leg 13,y,-830.17,0.15,mm,false
8,SSAT BR,fiducial,Fiducial,Fiducial,Orig. TFGS Leg 13,Orig. TFGS Leg 13,z,-4601.72,0.15,mm,false
