coil,phase,record_kind,point_group,point_group_raw,feature,feature_raw,axis,value,uncertainty,units,is_formula
4,FAT supplier,fiducial,Fiducial,Fiducial,P15-SCC,P15-SCC,x,11190.7,0.1069069053218242,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P15-SCC,P15-SCC,y,-376.66,0.1069069053218242,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P15-SCC,P15-SCC,z,3254.3,0.1069069053218242,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P17-IOIS,P17-IOIS,x,9298.81,0.1253775897036377,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P17-IOIS,P17-IOIS,y,-1673.83,0.1253775897036377,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P17-IOIS,P17-IOIS,z,3880.77,0.1253775897036377,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P18-IOIS,P18-IOIS,x,10099.22,0.1309358111656339,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P18-IOIS,P18-IOIS,y,-1814.56,0.1309358111656339,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P18-IOIS,P18-IOIS,z,2376.86,0.1309358111656339,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P19-IOIS,P19-IOIS,x,10483.62,0.1136574084794991,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P19-IOIS,P19-IOIS,y,-1882.86,0.1136574084794991,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P19-IOIS,P19-IOIS,z,-1247.0,0.1136574084794991,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-AT,P1-AT,x,2511.7,0.0920932676938165,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-AT,P1-AT,y,-0.95,0.0920932676938165,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-AT,P1-AT,z,5887.5,0.0920932676938165,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-GS,P1-GS,x,10948.58,0.1277206413090705,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-GS,P1-GS,y,402.37,0.1277206413090705,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-GS,P1-GS,z,-4687.36,0.1277206413090705,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-IIS,P1-IIS,x,4450.23,0.1066858418828762,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-IIS,P1-IIS,y,816.8,0.1066858418828762,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-IIS,P1-IIS,z,5778.43,0.1066858418828762,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-IOIS,P1-IOIS,x,9464.72,0.1034198724057702,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-IOIS,P1-IOIS,y,1219.55,0.1034198724057702,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-IOIS,P1-IOIS,z,3928.42,0.1034198724057702,mm,false
