trip,promotion,wall_s,primary_linear_wall_s,ladder_scoring_wall_s,recovery_wall_s,rebuild_wall_s,descent_wall_s,unattributed_boundary_wall_s,ladder_grade_reached,backtrack_count,accepted,primary_gmres_restarts,primary_gmres_iterations_used,rebuild_gmres_calls,rebuild_gmres_restarts,rebuild_gmres_iterations_used,gmres_iterations_used,recovery_activated,recovery_radius_before,recovery_radius_after,recovery_outcome,rebuild_activated,rebuild_damping,rebuild_relinearized,rebuild_accepted,descent_activated,descent_grades_evaluated,descent_accepted
4,4,0.27782713400000003,0.273522333,0.001951114,0.0,0.0,0.0,0.0023536870000000487,2,1,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
4,5,0.275169174,0.270547598,0.002080479,0.0,0.0,0.0,0.002541096999999992,3,2,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
4,6,0.271567147,0.26726584800000003,0.0018648780000000002,0.0,0.0,0.0,0.0024364209999999664,4,3,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
4,7,0.2720187,0.267432439,0.0020602990000000002,0.0,0.0,0.0,0.0025259619999999927,5,4,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
4,8,0.27981611900000003,0.27555982300000004,0.002121907,0.0,0.0,0.0,0.0021343890000000143,6,5,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
4,9,0.502366643,0.26732075,0.23090852900000003,0.0019285700000000001,0.0,0.0,0.0022087939999999584,6,6,True,1,12,0,0,0,12,True,1.0,1.0,1,False,,False,False,False,0,False
4,10,0.271822365,0.26743543200000003,0.002044969,0.0,0.0,0.0,0.002341963999999974,3,2,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
4,11,0.2846427,0.280662049,0.0019126820000000002,0.0,0.0,0.0,0.002067969000000003,6,5,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
4,12,0.501186166,0.266774958,0.23057375700000002,0.001863185,0.0,0.0,0.0019742660000000023,6,6,True,1,12,0,0,0,12,True,1.0,1.0,1,False,,False,False,False,0,False
5,1,0.276806875,0.272645756,0.0019379940000000002,0.0,0.0,0.0,0.0022231249999999925,2,1,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
5,2,0.272959068,0.268804545,0.0019063770000000001,0.0,0.0,0.0,0.0022481460000000064,3,2,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
5,3,0.270811949,0.26698862900000003,0.001843388,0.0,0.0,0.0,0.001979931999999962,4,3,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
5,4,0.509451207,0.26835122,0.23760762300000002,0.0018066260000000002,0.0,0.0,0.0016857379999999367,6,6,True,1,12,0,0,0,12,True,1.0,1.0,1,False,,False,False,False,0,False
5,5,0.271335225,0.266854604,0.0019975130000000002,0.0,0.0,0.0,0.0024831080000000116,1,0,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
5,6,0.271833099,0.267629665,0.002051848,0.0,0.0,0.0,0.002151585999999983,4,3,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
5,7,0.271744357,0.267086737,0.002103671,0.0,0.0,0.0,0.002553949,6,5,True,1,12,0,0,0,12,False,,1.0,0,False,,False,False,False,0,False
5,8,0.817368332,0.27509276800000004,0.230676372,0.002099852,0.267748037,0.0,0.04175130300000007,6,6,True,1,12,6,15,180,192,True,1.0,0.015625,2,True,100.0,True,True,False,0,False
5,9,1.0454217300000002,0.270170391,0.24715895200000002,0.0019951300000000003,0.253952812,0.001987843,0.27015660200000013,6,6,True,1,12,6,6,72,84,True,0.015625,0.000244140625,2,True,1000000.0,True,False,True,5,True
5,10,0.27767202500000004,0.273701482,0.001847199,0.0,0.0,0.0,0.002123344000000027,5,4,True,1,12,0,0,0,12,False,,0.000244140625,0,False,,False,False,False,0,False
5,11,0.27341601400000004,0.26963064000000003,0.001643383,0.0,0.0,0.0,0.0021419910000000097,6,5,True,1,12,0,0,0,12,False,,0.000244140625,0,False,,False,False,False,0,False
5,12,1.0345145180000002,0.267471516,0.23037958100000003,0.0019292920000000002,0.25900500800000004,0.001843697,0.27388542400000004,6,6,True,1,12,6,6,72,84,True,0.000244140625,3.814697265625e-06,2,True,1000000000000.0,True,False,True,5,True
6,1,1.0311226980000001,0.267584473,0.231660513,0.001760161,0.258090932,0.001879538,0.2701470810000002,6,6,True,1,12,6,6,50,62,True,3.814697265625e-06,5.960464477539063e-08,2,True,1e+18,True,False,True,5,True
6,2,1.0188313340000001,0.26741179600000003,0.23084838000000002,0.0020448840000000003,0.245375634,0.0019644940000000002,0.27118614600000013,6,6,True,1,12,6,6,6,18,True,5.960464477539063e-08,1.4901161193847656e-08,2,True,1e+24,True,False,True,5,True
6,3,1.020216559,0.267034621,0.23080614600000002,0.002021536,0.24640503700000002,0.0018191580000000002,0.27213006100000003,6,6,True,1,12,6,6,6,18,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,9.999999999999999e+29,True,False,True,5,True
6,4,1.018446854,0.26785575,0.23400070300000003,0.001992844,0.24346802,0.0016368770000000001,0.26949265999999994,6,6,True,1,12,6,6,6,18,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,9.999999999999999e+35,True,False,True,5,True
6,5,1.021988465,0.267861518,0.229923459,0.0021433710000000003,0.250184736,0.0017174890000000002,0.27015789199999984,6,6,True,1,12,6,6,6,18,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,9.999999999999999e+41,True,False,True,5,True
6,6,1.027842811,0.267636111,0.23048980900000002,0.0018056790000000001,0.254707428,0.0018592970000000002,0.2713444869999999,6,6,False,1,12,6,6,28,40,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,1e+48,True,False,True,5,False
6,7,1.030272104,0.267713964,0.230721226,0.0020483510000000003,0.250471508,0.001725359,0.2775916959999999,6,6,False,1,12,6,6,39,51,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,1e+54,True,False,True,5,False
6,8,1.023572621,0.26684892600000004,0.230290758,0.0017932010000000001,0.24846252400000002,0.001978377,0.27419883499999986,6,6,False,1,12,6,6,39,51,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,1.0000000000000001e+60,True,False,True,5,False
6,9,1.035419251,0.269454175,0.23036044000000003,0.001732667,0.250473284,0.002218893,0.281179792,6,6,False,1,12,6,6,50,62,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,1.0000000000000001e+66,True,False,True,5,False
6,10,1.030942241,0.27330033800000003,0.23031996500000002,0.0015897950000000002,0.24820946000000002,0.004299583,0.27322309999999994,6,6,False,1,12,6,6,50,62,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,1.0000000000000001e+72,True,False,True,5,False
6,11,1.024392577,0.267163613,0.22992379500000001,0.001471262,0.246697671,0.001680358,0.27745587799999993,6,6,False,1,12,6,6,39,51,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,1.0000000000000002e+78,True,False,True,5,False
6,12,1.033474427,0.276376487,0.230274569,0.001989405,0.247205411,0.0017746530000000002,0.27585390199999993,6,6,False,1,12,6,6,39,51,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,1.0000000000000003e+84,True,False,True,5,False
7,1,1.034000124,0.26746387,0.230367043,0.0016939860000000002,0.251905722,0.0020806130000000003,0.2804888900000002,6,6,False,1,12,6,6,72,84,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,1.0000000000000004e+90,True,False,True,5,False
7,2,1.030926129,0.26788942,0.230487298,0.0016568560000000002,0.25075414100000004,0.001885792,0.2782526219999999,6,6,False,1,12,6,6,50,62,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,1.0000000000000006e+96,True,False,True,5,False
7,3,1.022512034,0.26650295300000004,0.23001332500000002,0.001690436,0.246038307,0.0018682770000000002,0.27639873599999987,6,6,False,1,12,6,6,28,40,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,1.0000000000000006e+102,True,False,True,5,False
7,4,1.031849096,0.26738241500000004,0.23039018900000002,0.001618828,0.24735024600000002,0.001985223,0.2831221949999998,6,6,False,1,12,6,6,39,51,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,1.0000000000000006e+108,True,False,True,5,False
7,5,1.027404742,0.267563315,0.22963473600000003,0.001649522,0.248579566,0.001650889,0.2783267140000001,6,6,False,1,12,6,6,50,62,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,1.0000000000000006e+114,True,False,True,5,False
7,6,1.0281807360000002,0.26668410600000003,0.230341846,0.0019380740000000001,0.24547054100000001,0.001793358,0.28195281100000014,6,6,False,1,12,6,6,28,40,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,1.0000000000000006e+120,True,False,True,5,False
7,7,1.030742405,0.267655338,0.230385944,0.0018900980000000002,0.24687913300000003,0.0015608570000000001,0.28237103500000005,6,6,False,1,12,6,6,39,51,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,1.0000000000000005e+126,True,False,True,5,False
7,8,1.034233106,0.267648522,0.230494256,0.0018882500000000002,0.24420375600000002,0.001834885,0.28816343700000013,6,6,False,1,12,6,6,17,29,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,1.0000000000000005e+132,True,False,True,5,False
7,9,1.0331404830000002,0.26736972200000003,0.23026365000000001,0.001787369,0.24876698900000002,0.001846942,0.2831058110000001,6,6,False,1,12,6,6,50,62,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,1.0000000000000004e+138,True,False,True,5,False
7,10,1.035139933,0.26690130900000003,0.23055424800000002,0.001765868,0.24978627700000003,0.001678975,0.2844532559999998,6,6,False,1,12,6,6,28,40,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,1.0000000000000005e+144,True,False,True,5,False
7,11,1.046385232,0.26746185100000003,0.2303987,0.001841495,0.24769169600000002,0.001942375,0.29704911499999986,6,6,False,1,12,6,6,39,51,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,1.0000000000000005e+150,True,False,True,5,False
7,12,1.055700622,0.26735068900000003,0.231242934,0.0020264330000000002,0.26747623200000004,0.002021249,0.28558308499999996,6,6,False,1,12,6,6,28,40,True,1.4901161193847656e-08,1.4901161193847656e-08,2,True,1.0000000000000006e+156,True,False,True,5,False
