Fri Sep  4 23:42:45 2026    docs/figures/millisecond-converged-solve/trip-quantum/host-profile/production-solve.pstats

         4663 function calls (4552 primitive calls) in 41.132 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 flattree.py:208(<genexpr>)
        5    0.000    0.000    0.000    0.000 flattree.py:216(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 layout.py:66(__eq__)
        6    0.000    0.000    0.000    0.000 flattree.py:204(<genexpr>)
        1    0.000    0.000    0.000    0.000 util.py:133(unzip2)
        1    0.000    0.000    0.000    0.000 core.py:1461(is_empty)
        4    0.000    0.000    0.000    0.000 util.py:837(test_event)
        1    0.000    0.000    0.000    0.000 core.py:1766(full_lower)
        1    0.000    0.000    0.000    0.000 core.py:1772(get_referent)
        4    0.000    0.000    0.000    0.000 pxla.py:1900(unsafe_call)
        2    0.000    0.000    0.000    0.000 pjit.py:186(_need_to_rebuild_with_fdo)
        1    0.000    0.000    0.000    0.000 api_util.py:228(_ensure_inbounds)
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 util.py:368(<lambda>)
        1    0.000    0.000    0.000    0.000 sharding_impls.py:150(device_set)
        4    0.000    0.000    0.000    0.000 typing.py:2300(cast)
        1    0.000    0.000    0.000    0.000 monitoring.py:92(record_scalar)
        2    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 util.py:751(args_kwargs)
        2    0.000    0.000    0.000    0.000 mesh.py:347(empty)
        1    0.000    0.000    0.000    0.000 __init__.py:1765(isEnabledFor)
        1    0.000    0.000    0.000    0.000 mesh.py:533(empty)
        2    0.000    0.000    0.000    0.000 forward_operator.py:173(<lambda>)
        1    0.000    0.000    0.000    0.000 core.py:154(outvars)
