manifest_row,time_s,converged,qualified,candidate_node,candidate_node_r_m,candidate_node_z_m,sampled_flux_wb,fitted_anchor_r_m,fitted_anchor_z_m,fitted_anchor_flux_wb,quadratic_curvature,stationary_coordinate_m,bracket_length_m,tangent_at_wall_node,contour_closed,inside_vertex_count,boundary_vertex_count,containment_fraction,enclosed_area_m2,enclosed_area_ratio,trace_error,selected_by_public_read,selected_by_private_read,nearest_fully_contained_ratio_one,maximum_containment_candidate,public_contour_closed,selected_anchor_candidate_contour_closed,selected_anchor_candidate_containment_fraction,nearest_fully_contained_candidate_node,nearest_fully_contained_candidate_ratio,maximum_containment_fraction,maximum_containment_candidate_node
16,0.03500000014901161,True,True,4,1.407930612564087,1.0330003499984741,-0.08535739811929369,1.3955843419092233,1.0330003499984741,-0.0856346397222388,1.8188078271289077,0.22284639177150184,0.5784996747970581,False,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.7202908562258236,1.0,10
16,0.03500000014901161,True,True,5,1.039931058883667,1.0330003499984741,0.14442501227909327,1.039931058883667,1.088176803802709,0.148399023104147,-1.3053334763358897,0.4231760074846549,0.5299992561340332,True,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.7202908562258236,1.0,10
16,0.03500000014901161,True,True,6,1.039931058883667,1.1950000524520874,0.1335035933169624,1.039931058883667,1.0330003499984741,0.1479487500229334,-0.14098188363450165,-0.158095728002348,1.0220686197280884,False,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.7202908562258236,1.0,10
16,0.03500000014901161,True,True,7,1.899999976158142,1.1950000524520874,-0.0484091098818471,1.899999976158142,1.215797831225139,-0.04851057545767995,0.23457666945554884,0.8808666960475267,1.4900689125061035,False,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.7202908562258236,1.0,10
16,0.03500000014901161,True,True,8,1.899999976158142,1.8250000476837158,0.03854724002962925,1.899999976158142,1.1950000524520874,-1.3496971524925248,0.003542650159779208,-19.165607324578527,1.96506929397583,False,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.7202908562258236,1.0,10
16,0.03500000014901161,True,True,9,0.5649306774139404,1.8250000476837158,0.23211560843685375,1.5113357665577607,1.8250000476837158,-0.0007215214081693067,0.25995495695438625,0.3886642096003815,1.4319877624511719,False,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.7202908562258236,1.0,10
16,0.03500000014901161,True,True,10,0.5649306774139404,1.7280815839767456,0.28224569749665973,0.6050537429434857,1.7280815839767456,0.2869457556756224,-2.919543965111178,0.13704152923651544,0.315487802028656,True,True,64,64,1.0,0.2697129891394594,0.335359314445963,,True,True,False,True,True,True,1.0,25,0.7202908562258236,1.0,10
16,0.03500000014901161,True,True,11,0.7835000157356262,1.7280815839767456,0.19397850618919804,0.7756908316725641,1.7280815839767456,0.19385715885034027,1.9898435795068925,0.21076015425862374,0.23106926679611206,False,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.7202908562258236,1.0,10
16,0.03500000014901161,True,True,12,0.7835000157356262,1.7155816555023193,0.19467788983673573,0.7835000157356262,1.7280815839767456,0.19078051618314432,0.22114136600972017,-0.12025511476915864,0.2747678804901488,False,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.7202908562258236,1.0,10
16,0.03500000014901161,True,True,13,0.5825902819633484,1.5470000505447388,0.22528811524215975,0.6242206885332178,1.5819317615316235,0.2275325082496596,-0.7599571559208479,0.20792353938991645,0.4283582318333037,True,True,39,64,0.609375,1.8585672210426178,2.310929967033623,,False,False,False,False,True,True,1.0,25,0.7202908562258236,1.0,10
