candidate,cell,radius_m,height_m,full_vertex_count,support_vertex_count,neighbour_count,analytic_m0_a,repaired_m0_a,relative_m0_error,fit_constraint_residual_a_m2,one_sided_condition
own_geometry,376,7.269058433833124,-1.7709532269735133,6,6,6,-21465.902495877748,-23835.726086196963,0.11039943886702684,6.766640581190586e-10,nan
own_geometry,392,7.489280120599749,-1.6438081768374087,6,5,6,-7988.856434742126,-6693.101306850326,-0.16219532025344574,5.820766091346741e-10,nan
own_geometry,393,7.68690337417645,-1.5018087952457913,6,4,5,-44.36322007414432,-272.31739580392116,5.13835955435148,9.686118573881686e-11,nan
own_geometry,395,7.489280120599749,-1.3895180765652002,6,6,6,-27725.887418749036,-28942.434665557274,0.04387766668869805,1.0477378964424133e-09,nan
own_geometry,396,7.709501807366374,-1.2623730264290958,6,6,6,-12797.181524179621,-9974.580127626592,-0.22056430091421833,2.3283064365386963e-10,nan
own_geometry,397,7.9038302867397014,-1.1232886478940989,6,5,5,-38.13494830668086,-221.9151710551999,4.81920733891024,8.731149137020111e-11,nan
own_geometry,399,7.709501807366374,-1.0080829261568869,6,8,6,-28101.58256468046,-28823.576354675683,0.025692282216968926,4.656612873077393e-10,nan
own_geometry,422,8.144638793483235,-0.4973259503884221,6,4,5,-835.8728716724354,-1715.8470072387531,1.0527607311930622,2.3283064365386963e-10,nan
own_geometry,424,8.149945180899623,-0.2452126253402609,6,5,6,-7408.6388056602145,-6445.61153841626,-0.1299870721877006,4.220055416226387e-10,nan
own_geometry,426,8.149945180899623,0.00907747493194754,6,5,6,-14974.103575924,-12294.405730179973,-0.17895547684420718,3.2014213502407074e-10,nan
own_geometry,427,7.929723494132999,-0.8809378760207828,6,6,6,-9316.797640379642,-6894.212496061258,-0.26002337260377245,5.820766091346741e-10,nan
own_geometry,430,7.929723494132999,-0.626647775748574,6,7,6,-23567.253678428195,-28170.237171665714,0.1953126807240492,5.238689482212067e-10,nan
own_geometry,432,7.929723494132999,-0.37235767547636556,6,7,6,-29054.31703902323,-27698.43423847102,-0.04666717165408171,6.984919309616089e-10,nan
own_geometry,438,8.149945180899623,0.2633675752041569,6,5,6,-19177.471873078157,-18696.927986240953,-0.02505772867339225,1.3969838619232178e-09,nan
own_geometry,440,8.149945180899623,0.5176576754763653,6,5,6,-20259.652438482102,-20485.23872990795,0.011134756240800955,6.402842700481415e-10,nan
own_geometry,442,8.149945180899623,0.7719477757485738,6,5,6,-18570.888754030304,-17747.822313464407,-0.04432025044505601,6.111804395914078e-10,nan
own_geometry,444,8.149945180899623,1.026237876020783,6,5,6,-13698.563348751539,-10505.11767149834,-0.23312267103865633,4.94765117764473e-10,nan
own_geometry,446,8.149945180899623,1.2805279762929915,6,5,6,-5800.42400608663,-5785.684545372883,-0.002541100564075993,4.3655745685100555e-10,nan
own_geometry,456,7.929723494132999,1.4076730264290962,6,7,6,-28695.041995845797,-28126.480862947752,-0.019813915343994126,9.313225746154785e-10,nan
own_geometry,458,8.14954945717306,1.5348115779080669,7,4,6,-335.89846174715274,-895.5584277696953,1.6661581690833287,1.8189894035458565e-10,nan
own_geometry,513,7.929723494132999,1.6619631267013046,6,7,6,-21665.417012922626,-24233.201405658685,0.11851996161460773,6.984919309616089e-10,nan
own_geometry,516,7.929723494132999,1.916253226973513,6,4,6,-6961.769080500397,-6818.873949216119,-0.020525692483038573,4.656612873077393e-10,nan
own_geometry,518,7.709501807366374,2.0433982771096177,6,7,6,-26914.194466346686,-29578.092479170107,0.09897743795209403,2.9103830456733704e-10,nan
own_geometry,520,7.922022796754473,2.1669592221629217,6,3,5,0.0,-1.5389601052959145,nan,1.6370904631912708e-11,nan
own_geometry,521,7.709501807366374,2.297688377381826,6,6,6,-10300.362920088084,-7258.430142763525,-0.295322873662256,3.2741809263825417e-10,nan
own_geometry,542,7.489280120599749,2.424833427517931,6,7,6,-26488.676770958475,-29646.260086356346,0.11920502268576008,9.313225746154785e-10,nan
own_geometry,544,7.704878286742391,2.5485563500631163,6,3,5,0.0,-5.343291420692324,nan,2.1827872842550278e-11,nan
own_geometry,545,7.489280120599749,2.6791235277901393,6,4,6,-5861.505273727258,-6141.34150410784,0.04774135948232922,4.984030965715647e-10,nan
own_geometry,551,7.269058433833124,2.806268577926244,6,6,6,-19106.335862596174,-20199.5940405155,0.057219667118882926,6.984919309616089e-10,nan
own_geometry,553,7.269058433833124,3.0605586781984524,6,4,6,-320.5746002496371,-922.0329678003801,1.876188466217775,1.382431946694851e-10,nan
