// SpatialAnalyzer SA 2022.2.0624.7 ( x64 )  
// Points Relative to Coordinate Frame 'Frames::TGCS clocked to Sector6'
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Collection,  Group,  Point,  X,  Y,  Z

Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC12-P18-IOIS1,  9625.999703,  -3542.829575,  2405.454032
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC12-G4-BU1,  10463.939669,  -2412.905657,  28.047272
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC12-G1-BU1,  11059.705043,  -1954.587758,  29.750017
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC12-P19-IOIS1,  9992.586513,  -3676.866083,  -1216.602648
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC12-P20-IOIS1,  9405.736251,  -3462.963632,  -2970.742626
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC12-P11-OIS1,  7188.487244,  -2657.552802,  -6325.590477
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC12-P10-OIS1,  5710.213418,  -2119.305545,  -6089.385331
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC12-A4-AU1,  2574.302187,  -982.279940,  -3669.413975
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC12-H4-AU1,  2574.371985,  -982.160577,  31.420246
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC12-B4-AU1,  2573.602410,  -981.423384,  3730.645968
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC12-A1-AU1,  2110.821761,  -373.636704,  -3667.923620
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC12-H1-AU1,  2110.921878,  -374.178678,  29.534017
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC12-B1-AU1,  2110.671860,  -372.243450,  3730.586796
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC13-B1-AU1,  2110.481396,  373.695041,  3730.873823
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC13-H1-AU1,  2111.571238,  373.252207,  29.661571
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC13-A1-AU - XXX1,  2119.733503,  349.288266,  -3667.796463
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC13-D1-BU1,  9001.276829,  1589.579761,  5020.988643
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC13-A1-AU1,  2111.416858,  374.055026,  -3668.148628
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC12-P8-OIS_XXX1,  7177.817617,  -2638.611158,  6397.521537
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC12-D1-BU1,  9002.192203,  -1591.038284,  5019.957876
Nominal references,  USMN Composite VV+TFC FINAL POSITION,  TFC12-P8-OIS1,  7187.849018,  -2658.699736,  6384.096133
