row,time_s,requested_class,arm,converged,solve_error,termination_reason,terminal_residual,axis_r_m,axis_z_m,efit_rmaxis_m,efit_zmaxis_m,axis_delta_r_m,axis_delta_z_m,current_centroid_z_m,centroid_target_z_m,centroid_error_m,first_contact_node,first_contact_node_r_m,first_contact_node_z_m,fitted_contact_r_m,fitted_contact_z_m,axis_flux_wb,first_contact_flux_wb,flux_distance_from_axis_wb,boundary_flux_wb,contour_closed,trace_error,enclosed_area_m2,reconstruction_area_m2,enclosed_area_ratio,max_abs_compensating_current_a,constraint_observed_m,constraint_target_m,constraint_physical_residual_m,constraint_normalized_unknown,constraint_physical_unknown_a,constraint_qualified,compensator_rule,compensator_authority,trip_count
11,0.009999999776482582,limited,conditioned_warm,False,,active_set_settled,0.0015647830417980075,1.099656984113829,1.1070438871735355,0.5506857633590698,-0.01918219029903412,0.5489712207547592,1.1262260774725696,-0.009279731887373565,-0.01581486500799656,0.0065351331206229945,10,0.5649306774139404,1.7280815839767456,0.6132924117594177,1.7280815839767456,0.38967534006172966,0.4028157677615627,0.013140427699833035,0.4028157677615627,False,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,,0.45848312973976135,,21422.105139694344,-0.009279731887373565,-0.01581486500799656,0.0065351331206229945,-0.0024022271139004943,-21422.105139694344,False,dominant_authority,1.121377706922584e-07,1
12,0.014999999664723873,limited,free,True,,converged,1.0070867204895139e-09,0.5498035629378606,-0.02939356340759821,0.5413144826889038,-0.01174374483525753,0.008489080248956782,-0.01764981857234068,-0.0034143619353511723,-0.007612599991261959,0.004198238055910786,10,0.5649306774139404,1.7280815839767456,0.606114566796037,1.7280815839767456,0.32113544989140347,0.36124100806462844,0.040105558173224976,0.36124100806462844,False,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,,0.4250595271587372,,,,,,,,,,,1
12,0.014999999664723873,limited,conditioned,False,,active_set_settled,0.025634275884615303,0.522957987481221,-0.4097885086551325,0.5413144826889038,-0.01174374483525753,-0.018356495207682788,-0.39804476381987497,-0.0034109850188460463,-0.007612599991261959,0.004201614972415913,10,0.5649306774139404,1.7280815839767456,0.6063213732001367,1.7280815839767456,0.316251434989295,0.3619358811704137,0.04568444618111872,0.3619358811704137,False,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,,0.4250595271587372,,0.0,-0.0034109850188460463,-0.007612599991261959,0.004201614972415913,0.0,0.0,False,dominant_authority,1.2554432702107982e-07,1
12,0.014999999664723873,limited,conditioned_warm,False,,active_set_settled,0.0010139882939284213,0.5569825300290427,0.00461809858345192,0.5413144826889038,-0.01174374483525753,0.015668047340138935,0.01636184341870945,-0.003573471757621552,-0.007612599991261959,0.004039128233640407,10,0.5649306774139404,1.7280815839767456,0.6059780756918395,1.7280815839767456,0.31178474368427267,0.3595195808446049,0.04773483716033222,0.3595195808446049,False,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,,0.4250595271587372,,1394.8186705491069,-0.003573471757621552,-0.007612599991261959,0.004039128233640407,-6.709817919179844e-05,-1394.8186705491069,False,dominant_authority,4.810530616526913e-08,1
13,0.019999999552965164,limited,free,True,,converged,9.930856576703633e-11,0.5802395519269795,-0.030278272673297774,0.5738289952278137,-0.014938442036509514,0.0064105566991657925,-0.01533983063678826,-0.0034619443675249035,-0.012401406653225422,0.008939462285700518,10,0.5649306774139404,1.7280815839767456,0.6059339449369217,1.7280815839767456,0.31170951630361515,0.34199779400364283,0.030288277700027677,0.34199779400364283,False,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,,0.5052688121795654,,,,,,,,,,,1
13,0.019999999552965164,limited,conditioned,False,,active_set_settled,0.022871507818626416,0.5526267182877935,-0.31272344847824113,0.5738289952278137,-0.014938442036509514,-0.021202276940020193,-0.2977850064417316,-0.0034588163319163173,-0.012401406653225422,0.008942590321309105,10,0.5649306774139404,1.7280815839767456,0.6060355583366664,1.7280815839767456,0.30722705761127006,0.342322436526391,0.035095378915120934,0.342322436526391,False,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,,0.5052688121795654,,0.0,-0.0034588163319163173,-0.012401406653225422,0.008942590321309105,0.0,0.0,False,dominant_authority,5.381213757410463e-07,1
13,0.019999999552965164,limited,conditioned_warm,False,,active_set_settled,0.002234865571448979,0.5802395518806658,-0.03027827270047223,0.5738289952278137,-0.014938442036509514,0.006410556652852062,-0.015339830663962717,-0.0034619443674484616,-0.012401406653225422,0.00893946228577696,10,0.5649306774139404,1.7280815839767456,0.6059339449365889,1.7280815839767456,0.311709516301484,0.3419977940027408,0.03028827770125675,0.3419977940027408,False,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,,0.5052688121795654,,0.0,-0.0034619443674484616,-0.012401406653225422,0.00893946228577696,0.0,0.0,False,dominant_authority,2.1997099981522983e-08,1
14,0.02499999850988388,limited,free,True,,converged,1.6365747014385845e-10,0.6280003629213207,-0.01787396253008786,0.6185368895530701,-0.015179519541561604,0.009463473368250597,-0.0026944429885262557,-0.003456497418343653,-0.014504238031804562,0.01104774061346091,10,0.5649306774139404,1.7280815839767456,0.6057837773532794,1.7280815839767456,0.3086962963559567,0.32383641463366664,0.015140118277709946,0.32383641463366664,False,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,,0.6313509345054626,,,,,,,,,,,1
14,0.02499999850988388,limited,conditioned,False,,active_set_settled,0.034452840975591495,0.5980311641064536,0.30214324777636836,0.6185368895530701,-0.015179519541561604,-0.02050572544661644,0.31732276731792997,-0.003454183298746698,-0.014504238031804562,0.011050054733057865,10,0.5649306774139404,1.7280815839767456,0.6059175859521795,1.7280815839767456,0.30146509886056816,0.32424648823822527,0.022781389377657113,0.32424648823822527,False,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,,0.6313509345054626,,0.0,-0.003454183298746698,-0.014504238031804562,0.011050054733057865,0.0,0.0,False,dominant_authority,1.0719677545830968e-06,1
14,0.02499999850988388,limited,conditioned_warm,False,,active_set_settled,0.0027619351533877744,0.6280003627851878,-0.017873962450522744,0.6185368895530701,-0.015179519541561604,0.009463473232117714,-0.0026944429089611407,-0.0034564974182833465,-0.014504238031804562,0.011047740613521215,10,0.5649306774139404,1.7280815839767456,0.6057837773528248,1.7280815839767456,0.30869629633627704,0.3238364146325695,0.01514011829629247,0.3238364146325695,False,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,,0.6313509345054626,,0.0,-0.0034564974182833465,-0.014504238031804562,0.011047740613521215,0.0,0.0,False,dominant_authority,1.4837199194957288e-08,1
