revision=4d51fba1a tree=/home/ITER/mcintos/Code/.reckon-worktrees/nova-a0f1e0938fc2/s19-codex-20260916/fsapi-core-modules-importing-optional-extras-census
command=python benchmarks/optional_extra_import_census.py
skipped self-reference in extra 'test': ['nova-stella[jax,transport]']
core import names: 22
FINDING nova/scripts/render_misfit_figures.py:24 matplotlib extras=matplotlib,test
FINDING nova/structural/catenary.py:1 matplotlib extras=matplotlib,test
FINDING nova/structural/finiteframe.py:5 matplotlib extras=matplotlib,test
FINDING nova/structural/finiteframe.py:6 mpl_toolkits extras=matplotlib,test
FINDING nova/structural/properties.py:1 matplotlib extras=matplotlib,test
FINDING nova/thermalhydralic/attributes.py:3 pandas extras=interchange
FINDING nova/thermalhydralic/cold_test.py:14 pandas extras=interchange
FINDING nova/thermalhydralic/frequencyresponse.py:3 pandas extras=interchange
FINDING nova/thermalhydralic/naka/database.py:8 regex extras=thermofluids
FINDING nova/thermalhydralic/naka/database.py:9 mechanize extras=naka
FINDING nova/thermalhydralic/naka/database.py:11 fitz extras=thermofluids
FINDING nova/thermalhydralic/naka/database.py:12 pandas extras=interchange
FINDING nova/thermalhydralic/naka/nakadata.py:7 pandas extras=interchange
FINDING nova/thermalhydralic/naka/nakaserver.py:16 mechanize extras=naka
FINDING nova/thermalhydralic/naka/nakaserver.py:17 bs4 extras=naka
FINDING nova/thermalhydralic/naka/sampledata.py:7 pandas extras=interchange
FINDING nova/thermalhydralic/spectrum.py:4 pandas extras=interchange
FINDING nova/thermalhydralic/sultan/campaign.py:8 pandas extras=interchange
FINDING nova/thermalhydralic/sultan/field.py:3 pandas extras=interchange
FINDING nova/thermalhydralic/sultan/fitfluid.py:10 nlopt extras=thermofluids
FINDING nova/thermalhydralic/sultan/fitfluid.py:11 pandas extras=interchange
FINDING nova/thermalhydralic/sultan/fluidprofile.py:6 pandas extras=interchange
FINDING nova/thermalhydralic/sultan/heatindex.py:6 pandas extras=interchange
FINDING nova/thermalhydralic/sultan/model.py:7 pandas extras=interchange
FINDING nova/thermalhydralic/sultan/profile.py:8 pandas extras=interchange
FINDING nova/thermalhydralic/sultan/remotedata.py:7 pandas extras=interchange
FINDING nova/thermalhydralic/sultan/remotedata.py:8 ftputil extras=thermofluids
FINDING nova/thermalhydralic/sultan/sample.py:6 pandas extras=interchange
FINDING nova/thermalhydralic/sultan/sampledata.py:7 pandas extras=interchange
FINDING nova/thermalhydralic/sultan/sampledata.py:10 CoolProp extras=thermofluids
FINDING nova/thermalhydralic/sultan/sultandata.py:7 pandas extras=interchange
FINDING nova/thermalhydralic/sultan/sultanspectrum.py:6 pandas extras=interchange
FINDING nova/thermalhydralic/sultan/waveform.py:8 pandas extras=interchange
FINDING nova/thermalhydralic/twente/twentedata.py:10 pandas extras=interchange
FINDING nova/thermalhydralic/twente/twentedata.py:11 nlopt extras=thermofluids
FINDING nova/transport/coupled_window.py:29 jax extras=gpu,jax
FINDING nova/transport/coupled_window.py:30 jax extras=gpu,jax
FINDING nova/transport/current_diffusion.py:70 jax extras=gpu,jax
FINDING nova/transport/current_diffusion.py:71 jax extras=gpu,jax
FINDING nova/transport/ensemble.py:16 jax extras=gpu,jax
FINDING nova/transport/evolved_state.py:27 jax extras=gpu,jax
FINDING nova/transport/evolved_state.py:28 jax extras=gpu,jax
FINDING nova/transport/torax_geometry.py:7 jax extras=gpu,jax
FINDING nova/transport/torax_geometry.py:8 jax extras=gpu,jax
FINDING nova/utilities/IO.py:9 pandas extras=interchange
FINDING nova/utilities/geom.py:10 matplotlib extras=matplotlib,test
FINDING nova/utilities/geom.py:11 matplotlib extras=matplotlib,test
FINDING nova/utilities/geom.py:12 mpl_toolkits extras=matplotlib,test
FINDING nova/utilities/geom.py:13 mpl_toolkits extras=matplotlib,test
FINDING nova/utilities/mesh.py:2 matplotlib extras=matplotlib,test
FINDING nova/utilities/pandasdata.py:5 pandas extras=interchange
FINDING nova/utilities/time.py:15 matplotlib extras=matplotlib,test
findings: 205
guarded hits excluded: 13
POSITIVE CONTROL nova/geometry/section.py:8 vedo found
