angle_rad,retained_fraction,area_fraction,area_error,first_area_error,second_area_error,current_error,current_scaled_error,first_current_error,first_current_scaled_error,current_centroid_error_m,partition_area_error,partition_current_scaled_error,partition_first_current_scaled_error
0.16534698176788384,0.7,0.7564984472842851,2.7755575615628914e-17,4.7420677906616184e-18,6.923736635262163e-19,1.4551915228366852e-11,1.1576212762238496e-16,2.737941617577302e-12,9.075264377650865e-17,2.6479404645468863e-17,0.0,0.0,2.634846428195418e-16
0.16534698176788384,0.85,0.9110937274921154,0.0,5.6276777223850945e-18,1.0845832703336842e-18,2.9103830456733704e-11,2.315242552447699e-16,3.0589999476146e-12,1.0139454061985249e-16,2.4655053005362233e-17,5.551115123125783e-17,5.788106381119248e-16,1.4545827168614935e-16
0.16534698176788384,0.95,0.9884949430522025,2.7755575615628914e-17,4.339856937279166e-18,9.482896068074615e-19,4.3655745685100555e-11,3.472863828671549e-16,4.657346117655685e-12,1.5437380784383305e-16,3.862387734617323e-17,8.326672684688674e-17,5.788106381119248e-16,9.356465688339719e-17
0.16534698176788384,0.99,0.9995397977220882,2.7755575615628914e-17,6.079647764920686e-18,1.2797877744389934e-18,2.9103830456733704e-11,2.315242552447699e-16,2.5452906330927033e-12,8.436697577837395e-17,2.0790689807805115e-17,2.7755575615628914e-17,1.1576212762238496e-16,2.6227600678299345e-16
0.16534698176788384,0.9999,0.9999999539797724,2.7755575615628914e-17,3.826125590893178e-18,1.107222243065041e-18,4.3655745685100555e-11,3.472863828671549e-16,4.453056981602432e-12,1.4760237814181601e-16,3.6079668015387855e-17,0.0,2.315242552447699e-16,2.279840011519026e-16
0.16534698176788384,0.99999,0.9999999995397977,2.7755575615628914e-17,4.468007692704646e-18,9.483838072727259e-19,7.275957614183426e-11,5.788106381119248e-16,3.730180182062295e-12,1.2364168436302816e-16,3.086455283827034e-17,5.551115123125783e-17,6.945727657343098e-16,8.523042212157683e-17
0.3306939635357677,1e-05,3.01136515418867e-10,0.0,1.80628132747899e-27,6.617444912750173e-24,5.659962524839435e-11,4.502564053294808e-16,3.105351996550964e-12,1.0293093970098242e-16,2.9603119030865824e-07,2.7755575615628914e-17,2.315242552447699e-16,8.40349559080439e-17
0.3306939635357677,0.0001,3.0113651680989905e-08,1.734723475976807e-18,2.7841576805981936e-19,5.006282760823856e-20,5.92076357559812e-11,4.710034231949547e-16,3.1890477875098357e-12,1.0570514578840245e-16,3.1027884237390675e-09,5.551115123125783e-17,2.315242552447699e-16,9.106504622802082e-17
0.3306939635357677,0.01,0.0003011365167470012,0.0,3.727907381096466e-20,1.1458938489279567e-20,6.146194664324867e-11,4.889367206707178e-16,3.012353711197666e-12,9.984839031121052e-17,3.237240444289234e-13,5.551115123125783e-17,4.630485104895398e-16,2.4062031342171533e-16
0.3306939635357677,0.05,0.007528412918674578,3.469446951953614e-18,5.187272922672512e-19,1.0210875904243935e-19,6.707523425575346e-11,5.335910570094307e-16,3.5153415178535278e-12,1.1652057679916e-16,1.2694042168946472e-14,5.551115123125783e-17,4.630485104895398e-16,9.596221836948857e-17
0.3306939635357677,0.15,0.0677557162680718,0.0,1.2266347333466993e-18,2.6139167764400125e-19,4.9112713895738125e-11,3.906971807255493e-16,2.5648919683313756e-12,8.501668758487815e-17,8.200821523359857e-16,5.551115123125783e-17,4.630485104895398e-16,1.5269747837203493e-16
0.3306939635357677,0.3,0.23452478544633398,2.0816681711721685e-17,3.1273172206927508e-18,7.855791075262255e-19,5.093170329928398e-11,4.051674466783474e-16,2.2850771577215914e-12,7.57418609532091e-17,1.8041124150158794e-16,5.551115123125783e-17,5.788106381119248e-16,2.2612930581892194e-16
0.3306939635357677,0.5,0.4999999999999997,1.5265566588595902e-16,2.742838647325548e-18,2.395439199186169e-18,1.4551915228366852e-10,1.1576212762238497e-15,6.62122137262533e-12,2.1946901304892662e-16,2.5066604164831255e-16,5.551115123125783e-17,5.788106381119248e-16,2.870097970405891e-16
0.3306939635357677,0.7,0.7654752145536657,1.3877787807814457e-17,4.670885906470169e-18,1.1683504674935435e-18,0.0,0.0,4.192563418333924e-12,1.3896797943820197e-16,4.5534426050565124e-17,5.551115123125783e-17,3.472863828671549e-16,1.8480036692746184e-16
0.3306939635357677,0.85,0.932244283731928,2.7755575615628914e-17,3.878959614448864e-18,9.360078169263525e-19,5.820766091346741e-11,4.630485104895398e-16,3.992010957990587e-12,1.3232040672328548e-16,3.5940607009782056e-17,5.551115123125783e-17,4.630485104895398e-16,8.797181251216798e-17
0.3306939635357677,0.95,0.9924715870813253,0.0,3.4312258170301868e-18,1.2003362442343912e-18,2.9103830456733704e-11,2.315242552447699e-16,4.508224278401565e-12,1.4943097010388814e-16,3.672997898926329e-17,2.7755575615628914e-17,3.472863828671549e-16,1.9296668489775346e-16
0.3306939635357677,0.99,0.9996988634832528,2.7755575615628914e-17,3.2417119496948183e-18,1.2887021038708337e-18,4.3655745685100555e-11,3.472863828671549e-16,5.165562612472209e-12,1.7121930601637677e-16,4.17241792437887e-17,5.551115123125783e-17,6.945727657343098e-16,9.759911108039833e-17
0.3306939635357677,0.9999,0.9999999698863483,2.7755575615628914e-17,3.299079820586698e-18,7.315543575012881e-19,8.731149137020111e-11,6.945727657343098e-16,3.806493558423037e-12,1.2617119069573708e-16,3.195436453597962e-17,2.7755575615628914e-17,6.945727657343098e-16,1.5094375496480362e-16
0.3306939635357677,0.99999,0.9999999996988634,2.7755575615628914e-17,3.625312911825695e-18,1.2985437762203258e-18,2.9103830456733704e-11,2.315242552447699e-16,5.06959171195906e-12,1.6803822542237663e-16,4.0936924240913434e-17,2.7755575615628914e-17,2.315242552447699e-16,2.174213492008552e-16
0.4960409453036515,1e-05,2.672759092743718e-10,0.0,7.058661746690299e-23,2.2058317958407185e-23,5.0833020491481903e-11,4.04382413807303e-16,3.006143155845395e-12,9.964253335870266e-17,2.9514455819911426e-07,8.326672684688674e-17,4.630485104895398e-16,2.1202539629048356e-16
0.4960409453036515,0.0001,2.6727591043356518e-08,1.734723475976807e-18,2.818493384397122e-19,5.134632034848083e-20,5.4585427757686267e-11,4.3423323701679643e-16,3.15256586331493e-12,1.0449590485737357e-16,3.171736015672957e-09,0.0,3.472863828671549e-16,1.209529876866297e-16
0.4960409453036515,0.01,0.00026727591034637064,0.0,6.648534212453946e-20,2.3310725284770104e-20,5.859845941813546e-11,4.661573566903363e-16,3.0634463403957963e-12,1.0154192210438516e-16,3.4371561853725224e-13,5.551115123125783e-17,3.472863828671549e-16,1.5343963330743742e-16
0.4960409453036515,0.05,0.006681897758659254,3.469446951953614e-18,6.425670320879592e-19,1.879115437453155e-19,6.718892109347507e-11,5.344954486314806e-16,3.34136451725291e-12,1.1075388233809101e-16,1.4747675086897237e-14,2.7755575615628914e-17,3.472863828671549e-16,1.0665016873010824e-16
0.4960409453036515,0.15,0.0601370798279337,6.938893903907228e-18,2.0713653421116587e-18,3.2554287362238764e-19,5.275069270282984e-11,4.196377126311455e-16,3.233586233665822e-12,1.0718143064137532e-16,9.71445146547012e-16,8.326672684688674e-17,5.788106381119248e-16,2.0615726655425414e-16
0.4960409453036515,0.3,0.23333333333333245,1.3877787807814457e-17,5.057544569639795e-18,7.723751569297855e-19,4.3655745685100555e-11,3.472863828671549e-16,4.099037227506402e-12,1.3586793193337083e-16,1.2412670766236366e-16,5.551115123125783e-17,5.788106381119248e-16,2.298662039376785e-16
0.4960409453036515,0.5,0.5,4.163336342344337e-17,5.834579367856216e-18,1.0410468795717559e-18,2.9103830456733704e-11,2.315242552447699e-16,2.2737367544323206e-12,7.536596850415688e-17,4.163336342344337e-17,5.551115123125783e-17,4.630485104895398e-16,1.6636087977272547e-16
0.4960409453036515,0.7,0.7666666666666666,4.163336342344337e-17,4.336808689942018e-18,1.1683504674935435e-18,1.4551915228366852e-11,1.1576212762238496e-16,4.290077928115626e-12,1.4220022497347764e-16,4.654751537338637e-17,0.0,0.0,1.9277341906255229e-16
0.4960409453036515,0.85,0.9398629201720661,2.7755575615628914e-17,5.355563664084651e-18,1.0902837530978062e-18,2.9103830456733704e-11,2.315242552447699e-16,3.5698391157228758e-12,1.1832697071726287e-16,3.127317220692751e-17,5.551115123125783e-17,5.788106381119248e-16,8.426171438270146e-17
