tree_sha	window_index	member_id	role	chord_index	radius_m	height_m	psi_norm	electron_temperature_ev	electron_density_m-3	net_current_a	thomson_cocos	temperature_unit	density_unit	net_current_unit	support_method	supported	temperature_error_bound_ev	density_error_bound_m-3	net_current_support
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	field-high	counterfactual	1	1.03	-0.03	0.03223664391033997	7045.822517067245	1.1655940839022415e+20	1014999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055706	1.4368127893519e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	field-high	counterfactual	2	1.12	0.02	0.005245763504794923	7066.065677371404	1.1662688559123802e+20	1014999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055706	1.4368127893519e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	field-high	counterfactual	3	1.0	0.12	0.14185088799613896	6938.335502008687	1.1620111834002896e+20	1014999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055706	1.4368127893519e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	field-high	counterfactual	4	1.15	0.09	0.0630119206535638	7022.741059509827	1.164824701983661e+20	1014999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055706	1.4368127893519e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	field-high	counterfactual	5	1.25	0.04	0.11932606588197056	6980.505450588522	1.1634168483529507e+20	1014999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055706	1.4368127893519e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	current-low	counterfactual	0	0.94	-0.08	0.17064988128624312	6768.537767105953	1.2018512589035317e+20	964999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557156	1.4368127893519053e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	current-low	counterfactual	1	1.03	-0.03	0.03220355222906686	6940.8473358282	1.2075949111942732e+20	964999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557156	1.4368127893519053e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	current-low	counterfactual	2	1.12	0.02	0.005254136752137617	6961.059397435897	1.2082686465811964e+20	964999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557156	1.4368127893519053e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	current-low	counterfactual	3	1.0	0.12	0.1418039746719939	6833.441056988014	1.2040147018996004e+20	964999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557156	1.4368127893519053e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	current-low	counterfactual	4	1.15	0.09	0.06303411554377843	6917.724413342166	1.2068241471114053e+20	964999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557156	1.4368127893519053e+17	typed window plasma-current conservation ledger
