window	coupling	damping	tolerance	iteration	maximum_residual	iteration_cap_one	iterations_used	contraction_estimate
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	17	1.29237447894035417e-02	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	18	1.07668905538552094e-02	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	19	8.98229279264886778e-03	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	20	7.50199944626869092e-03	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	21	6.27156798316197157e-03	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	22	5.24705645225492703e-03	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	23	4.39277596806284237e-03	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	24	3.67958710800766250e-03	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	25	3.08359151084185721e-03	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	26	2.58511514806731516e-03	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	27	2.16790997435123553e-03	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	28	1.81852124862882480e-03	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	29	1.52578206190400541e-03	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	30	1.28040661427505031e-03	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	31	1.07466091410782531e-03	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	32	9.02094722449739341e-04	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	33	7.57322333910179397e-04	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	34	6.35842576302935347e-04	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	35	5.33890503094040900e-04	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	36	4.48314837936997137e-04	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	37	3.76476444682348715e-04	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	38	3.16164035413457340e-04	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	39	2.65524062285580828e-04	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	40	2.23002316332127272e-04	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	41	1.87295214668200779e-04	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	42	1.57309123843851198e-04	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	43	1.32126361832140925e-04	false	124	8.40001413176499345e-01
