cell,radius_m,height_m,topology_zero,oracle_current_a,attributed_current_a,current_error_a,centroid_error_mm,oracle_radial_first_am,attributed_radial_first_am,oracle_vertical_first_am,attributed_vertical_first_am,first_error_norm_am,attribution_roundoff_current_a,attribution_roundoff_first_am
37,6.167949999999999,-2.9152586781984526,False,-607.8682532677021,-630.0731475481389,-22.204894280436747,4.1949488098119705,33.80575365371092,34.12845261752346,-56.00503170822063,-55.57011931989994,0.5415564668254735,5.150013748789206e-11,6.740444485820393e-12
40,6.167949999999999,-2.6609685779262437,False,-18305.84220182035,-18291.60352474604,14.238677074310544,0.2293326150253928,218.40338319002365,217.34804602070486,-456.41715050681165,-451.9617949973129,4.5786383627631855,1.8553691916167736e-10,4.478349690722544e-11
75,4.407346364316974,-3.855381693289957,True,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,4.261377047853079,-3.8148553596637442,True,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,4.410204175112744,-3.6799280644149452,True,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,4.6263981926336255,-3.550983928878974,True,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,4.406176505867,-1.6438081768374084,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,4.406176505867,-1.3895180765652,False,-178.4443565131163,-208.29543186695028,-29.851075353833977,7.580721392921791,-20.78232051396583,-22.70404063481841,-3.5158284152504327,-3.8287088761817154,1.9470239869406403,-1.1937117960769683e-11,1.6536766547885534e-12
102,4.406176505867,-1.135227976292991,False,-1330.8606475894746,-1360.9734073965658,-30.11275980709115,2.1719260499926283,-124.14280594935971,-124.00026864412135,-27.075067815758622,-27.52508820396223,0.47205426932031935,-5.6843418860808015e-11,7.461595308869755e-12
104,4.406176505867,-0.8809378760207827,False,-3644.1879850238965,-3703.569129563038,-59.38114453914159,2.20452841197767,-275.9256177936837,-272.2857451002171,-49.775034945082965,-49.90319110924224,3.6421281178805094,-1.000444171950221e-10,1.2677757089172202e-11
106,4.406176505867,-0.6266477757485739,False,-6703.229459107276,-6756.935130227072,-53.705671119795625,1.5351265075917218,-402.6024291523458,-395.52852739080964,-62.80339916848235,-62.07616239444557,7.111185517013015,-1.4370016288012266e-10,1.718082931664379e-11
107,4.202036701324899,-0.4995027256124692,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,4.406176505867,-0.3723576754763655,False,-9628.049530338489,-9631.18719723302,-3.137666894530412,0.11452647721709558,-430.94603476226627,-430.04832806368853,-56.15575566135129,-55.80134009075784,0.9651361113078404,-1.2187229003757238e-10,1.4150044256861837e-11
109,4.202036701324899,-0.2452126253402608,False,-16.691123768746706,-33.9804074433621,-17.28928367461539,8.599401965627335,-1.9818335551186594,-3.7466189552198172,-0.06827130589492213,-0.18800348958369004,1.7688423627392815,-1.6271428648906294e-12,2.283542345062963e-13
110,4.406176505867,-0.11806757520415613,False,-11985.9531248344,-12026.37691046655,-40.42378563215061,0.5860445379593957,-383.247994119775,-377.49332312807485,-39.23426494850712,-39.26169258603709,5.754736353475778,-1.2732925824820995e-10,1.5115326701756342e-11
111,4.202036701324899,0.009077474931947632,False,-158.62966614517666,-195.55263590149372,-36.92296975631706,6.415258202394378,-16.769653602568578,-19.418960186032955,-1.052017327420862,-1.2619018227328034,2.65760735899042,-1.332978172285948e-11,1.6432560969289461e-12
225,4.406176505867,0.1362225250680523,False,-13651.013729845792,-13671.871844146532,-20.858114300739544,0.07379398819842245,-314.52011800545137,-314.1974761459172,-23.56811613640572,-24.214643666665236,0.7225618429637141,-1.3096723705530167e-10,1.5534674741193563e-11
226,4.202036701324899,0.263367575204157,False,-425.6768971130624,-458.37683919225043,-32.69994207918802,4.898068595957996,-40.980290610419445,-41.92264516670943,-2.7190900978870345,-3.3470688671506714,1.132426352751633,-2.751221472863108e-11,3.251334907530965e-12
227,4.406176505867,0.39051262534026077,False,-14656.580915643637,-14657.259835564346,-0.6789199207087222,0.07491336020776859,-260.7807143480126,-260.83165853906587,-12.263826250329538,-11.16705776089178,1.0979510144016684,-1.2732925824820995e-10,1.8055463101824924e-11
228,4.202036701324898,0.5176576754763654,False,-697.7893049863617,-734.5245908774933,-36.73528589113164,4.175414533879869,-62.97776969009657,-63.22704850845019,-2.880924463753068,-2.9650578405697683,0.26309381287737665,-3.54702933691442e-11,4.089001577970513e-12
229,4.406176505867,0.6448027256124701,False,-15133.68711783937,-15127.343979906584,6.3431379327867035,0.021272772278334996,-232.03996497447034,-232.25860855718702,-4.142241547670409,-4.079168396084713,0.22755930812458114,-1.2005330063402653e-10,1.9582743424669197e-11
